TradeDate,Open,High,Low,Close,Volume
2017-08-30,202.92,203.69,202.00,202.92,1196205
2017-08-30,50.02,50.21,49.87,50.15,2926346
2017-08-30,73.62,74.18,73.58,73.89,3189119
2017-08-30,129.65,129.96,129.09,129.66,1149129
2017-08-30,63.53,65.80,63.38,63.48,7465837
2017-08-30,173.97,175.42,173.44,173.99,321463
2017-08-30,152.05,154.26,151.89,152.14,1466018
2017-08-30,12.19,12.68,12.16,12.15,43932966
2017-08-30,95.12,98.08,95.12,95.12,1441156
2017-08-30,11.15,11.20,11.03,11.17,4393291
2017-08-30,156.21,157.49,156.20,156.42,879386
2017-08-30,173.87,174.81,173.36,173.88,172627
2017-08-30,81.69,82.36,81.21,81.71,2065749
2017-08-30,63.40,63.93,63.39,63.49,1072530
2017-08-30,145.35,145.84,145.12,145.37,879193
2017-08-30,45.72,46.53,45.64,45.71,1820729
2017-08-30,74.30,74.41,73.40,74.38,920495
2017-08-30,114.55,115.54,113.86,114.46,717582
2017-08-30,118.56,119.87,117.87,118.65,911667
2017-08-30,137.95,140.25,137.67,138.38,1252027
2017-08-30,173.55,174.90,172.91,173.99,589413
2017-08-30,77.74,78.34,77.45,77.77,292355
2017-08-30,223.43,225.35,221.85,223.58,1526474
2017-08-30,223.33,225.27,221.67,223.64,314843
2017-08-30,43.00,43.06,42.69,43.06,1459226
2017-08-30,90.83,91.14,90.00,90.82,2437331
2017-08-30,935.67,945.86,934.05,935.75,1120342
2017-08-30,920.05,930.82,919.65,921.29,1301225
2017-08-30,63.92,64.20,63.69,63.81,4378515
2017-08-30,958.44,969.41,956.91,954.06,2904604
2017-08-30,60.34,60.52,60.14,60.42,712235
2017-08-30,44.54,44.76,43.89,44.56,5472629
2017-08-30,73.96,74.03,73.71,73.94,1356829
2017-08-30,85.38,85.74,85.22,85.42,2131663
2017-08-30,60.17,60.34,60.10,60.21,4420069
2017-08-30,145.65,147.64,145.32,145.89,1753040
2017-08-30,81.30,81.38,80.59,81.36,1156095
2017-08-30,137.43,138.05,137.05,137.38,763953
2017-08-30,78.43,78.53,77.79,78.56,1267028
2017-08-30,62.51,62.79,62.47,62.57,684474
2017-08-30,172.19,175.08,171.54,172.23,2311262
2017-08-30,80.10,80.47,79.98,80.16,984157
2017-08-30,40.33,40.77,40.03,40.71,3042696
2017-08-30,82.13,83.89,81.24,79.55,6868364
2017-08-30,99.30,101.19,98.75,98.81,2076545
